Unq_ID,DataOrigin,Trait,OLDTrait,LifeStage,Sex,TraitDef,OLDTraitDef,RearTemp,AmbientTemp,TraitValueSI,OLDTraitValueSI,TraitUnitSI,OLDTraitUnit,TotalTime,ErrorPosSI,ErrorNegSI,ErrorUnitSI,Replicates,Cohort (n),Labfield,Location ,Genus,Species,Citation,FigureTable,Notes,,,
1,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,25,5,0,0,probability,NA,0.00,,,,18,10,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Table 1,"Insectarium is maintaiAcclimation period was for freshly laid eggs, values from table not raw.",,,
1,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,25,10,0,0,probability,NA,0.00,,,,10,10,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Table 1,"Acclimation period was for freshly laid eggs, values from table not raw.",,,
1,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,25,15,0.5,50,probability,NA,3020000.00,,,,11,10,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Table 1,"Acclimation period was for freshly laid eggs, values from table not raw.",,,
1,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,25,20,0.775,77.5,probability,NA,1240000.00,,,,13,10,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Table 1,"Acclimation period was for freshly laid eggs, values from table not raw.",,,
1,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,25,25,0.763,76.3,probability,NA,901000.00,,,,13,10,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Table 1,"Acclimation period was for freshly laid eggs, values from table not raw.",,,
1,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,25,30,0.675,67.5,probability,NA,758000.00,,,,14,10,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Table 1,"Acclimation period was for freshly laid eggs, values from table not raw.",,,
1,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,25,35,0.25,2.5,probability,NA,1060000.00,,,,19,10,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Table 1,"Acclimation period was for freshly laid eggs, values from table not raw.",,,
1,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,25,40,0,0,probability,NA,0.00,,,,10,10,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Table 1,"Acclimation period was for freshly laid eggs, values from table not raw.",,,
2,Erin (vector-borne_disease_data_adjusted),Development Rate,MDR,,,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,25,15,3.31E-07,0.028571429,1/s,1/days,3.02E+06,1.29E-05,1.29E-05,1/s,11,10,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Table 2,"Acclimation period was for freshly laid eggs, values from table not raw.",,,
2,Erin (vector-borne_disease_data_adjusted),Development Rate,MDR,,,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,25,20,8.04E-07,0.069444444,1/s,1/days,1.24E+06,2.89E-05,2.89E-05,1/s,13,10,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Table 2,"Acclimation period was for freshly laid eggs, values from table not raw.",,,
2,Erin (vector-borne_disease_data_adjusted),Development Rate,MDR,,,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,25,25,1.11E-06,0.096153846,1/s,1/days,9.01E+05,1.65E-05,1.65E-05,1/s,13,10,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Table 2,"Acclimation period was for freshly laid eggs, values from table not raw.",,,
2,Erin (vector-borne_disease_data_adjusted),Development Rate,MDR,,,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,25,30,1.32E-06,0.113636364,1/s,1/days,7.58E+05,1.93E-05,1.93E-05,1/s,14,10,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Table 2,"Acclimation period was for freshly laid eggs, values from table not raw.",,,
