Unq_ID,DataOrigin,TraitName,OLDTrait,LifeStage,Sex,TraitDef,OLDTraitDef,RearTemp,AmbientTemp,TraitValue,OLDTraitValueSI,TraitUnit,OLDTraitUnit,ErrorPosSI,ErrorNegSI,ErrorUnitSI,Replicates,Cohort (n),Labfield,Location ,Genus,Species,Citation,FigureTable,Notes,,,,,,,
1,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,25,5,0,0,probability,NA,,,,18,10,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Table 1,"Insectarium is maintaiAcclimation period was for freshly laid eggs, values from table not raw.",,,,,,,
1,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,25,10,0,0,probability,NA,,,,10,10,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Table 1,"Acclimation period was for freshly laid eggs, values from table not raw.",,,,,,,
1,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,25,15,0.5,50,probability,NA,,,,11,10,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Table 1,"Acclimation period was for freshly laid eggs, values from table not raw.",,,,,,,
1,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,25,20,0.775,77.5,probability,NA,,,,13,10,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Table 1,"Acclimation period was for freshly laid eggs, values from table not raw.",,,,,,,
1,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,25,25,0.763,76.3,probability,NA,,,,13,10,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Table 1,"Acclimation period was for freshly laid eggs, values from table not raw.",,,,,,,
1,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,25,30,0.675,67.5,probability,NA,,,,14,10,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Table 1,"Acclimation period was for freshly laid eggs, values from table not raw.",,,,,,,
1,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,25,35,0.25,2.5,probability,NA,,,,19,10,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Table 1,"Acclimation period was for freshly laid eggs, values from table not raw.",,,,,,,
1,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,25,40,0,0,probability,NA,,,,10,10,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Table 1,"Acclimation period was for freshly laid eggs, values from table not raw.",,,,,,,
2,Erin (vector-borne_disease_data_adjusted),Development Rate,MDR,,,the rate at which a larval vector develops into an adult; the inverse of the number of second required for development from egg to adult,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,25,15,3.31E-07,0.028571429,1/s,1/days,1.29E-05,1.29E-05,1/s,11,10,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Table 2,"Acclimation period was for freshly laid eggs, values from table not raw.",,,,,,,
2,Erin (vector-borne_disease_data_adjusted),Development Rate,MDR,,,the rate at which a larval vector develops into an adult; the inverse of the number of second required for development from egg to adult,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,25,20,8.04E-07,0.069444444,1/s,1/days,2.89E-05,2.89E-05,1/s,13,10,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Table 2,"Acclimation period was for freshly laid eggs, values from table not raw.",,,,,,,
2,Erin (vector-borne_disease_data_adjusted),Development Rate,MDR,,,the rate at which a larval vector develops into an adult; the inverse of the number of second required for development from egg to adult,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,25,25,1.11E-06,0.096153846,1/s,1/days,1.65E-05,1.65E-05,1/s,13,10,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Table 2,"Acclimation period was for freshly laid eggs, values from table not raw.",,,,,,,
2,Erin (vector-borne_disease_data_adjusted),Development Rate,MDR,,,the rate at which a larval vector develops into an adult; the inverse of the number of second required for development from egg to adult,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,25,30,1.32E-06,0.113636364,1/s,1/days,1.93E-05,1.93E-05,1/s,14,10,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Table 2,"Acclimation period was for freshly laid eggs, values from table not raw.",,,,,,,
2,Erin (vector-borne_disease_data_adjusted),Development Rate,MDR,,,the rate at which a larval vector develops into an adult; the inverse of the number of second required for development from egg to adult,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,25,35,0.000000941,0.081300813,1/s,1/days,1.65E-05,1.65E-05,1/s,19,10,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Table 2,"Acclimation period was for freshly laid eggs, values from table not raw.",,,,,,,
247,Natcha,Development Time,MDR,,,total Time larvae develop to adult,,25,15,35,,days,,,,,11,10,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Table 1,"Acclimation period was for freshly laid eggs, values from table not raw.",,,,,,,
247,Natcha,Development Time,MDR,,,total Time larvae develop to adult,,25,20,14.4,,days,,,,,13,10,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Table 1,"Acclimation period was for freshly laid eggs, values from table not raw.",,,,,,,
247,Natcha,Development Time,MDR,,,total Time larvae develop to adult,,25,25,10.4,,days,,,,,13,10,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Table 1,"Acclimation period was for freshly laid eggs, values from table not raw.",,,,,,,
247,Natcha,Development Time,MDR,,,total Time larvae develop to adult,,25,30,8.8,,days,,,,,14,10,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Table 1,"Acclimation period was for freshly laid eggs, values from table not raw.",,,,,,,
247,Natcha,Development Time,MDR,,,total Time larvae develop to adult,,25,35,12.3,,days,,,,,19,10,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Table 1,"Acclimation period was for freshly laid eggs, values from table not raw.",,,,,,,
236,Natcha,Pre-reproductive Period,Pre-blood mean period,,,Average time between emergence and the first bloodmeal,,25,15,1.50E+01,,days,,,,,11,15,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Table 4,,,,,,,,
236,Natcha,Pre-reproductive Period,Pre-blood mean period,,,Average time between emergence and the first bloodmeal,,25,20,5.39E+00,,days,,,,,13,23,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Table 4,,,,,,,,
236,Natcha,Pre-reproductive Period,Pre-blood mean period,,,Average time between emergence and the first bloodmeal,,25,25,5.54E+00,,days,,,,,13,27,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Table 4,,,,,,,,
236,Natcha,Pre-reproductive Period,Pre-blood mean period,,,Average time between emergence and the first bloodmeal,,25,30,4.17E+00,,days,,,,,14,23,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Table 4,,,,,,,,
236,Natcha,Pre-reproductive Period,Pre-blood mean period,,,Average time between emergence and the first bloodmeal,,25,35,1.08E+01,,days,,,,,19,18,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Table 4,,,,,,,,
3,Erin (vector-borne_disease_data_adjusted),Longevity,p,,,"the average daily probability of an adult vector surviving, equal to the exponential of negative mu, the daily mortality rate, assuming a constant mortality rate throughout the adult vector lifespan","the average daily probability of an adult vector surviving, equal to the exponential of negative mu, the daily mortality rate, assuming a constant mortality rate throughout the adult vector lifespan",,22,9933642.688,0.99134,s,probability,,,,3,100,Lab,Midwestern USA,Aedes,albopictus,Alto_et_al_2001a_JMedEnto,Table 2,"No rear temperature mention, only mating temperature",,,,,,,
3,Erin (vector-borne_disease_data_adjusted),Longevity,p,,,"the average daily probability of an adult vector surviving, equal to the exponential of negative mu, the daily mortality rate, assuming a constant mortality rate throughout the adult vector lifespan","the average daily probability of an adult vector surviving, equal to the exponential of negative mu, the daily mortality rate, assuming a constant mortality rate throughout the adult vector lifespan",,24,7575765.505,0.98866,s,probability,,,,3,100,Lab,Midwestern USA,Aedes,albopictus,Alto_et_al_2001a_JMedEnto,Table 2,"No rear temperature mention, only mating temperature",,,,,,,
3,Erin (vector-borne_disease_data_adjusted),Longevity,p,,,"the average daily probability of an adult vector surviving, equal to the exponential of negative mu, the daily mortality rate, assuming a constant mortality rate throughout the adult vector lifespan","the average daily probability of an adult vector surviving, equal to the exponential of negative mu, the daily mortality rate, assuming a constant mortality rate throughout the adult vector lifespan",,26,6969697.758,0.98768,s,probability,,,,2,100,Lab,Midwestern USA,Aedes,albopictus,Alto_et_al_2001a_JMedEnto,Table 2,"No rear temperature mention, only mating temperature",,,,,,,
4,Erin (vector-borne_disease_data_adjusted),Development Rate,MDR,,,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,,22,5.56E-07,0.04808,1/s,1/days,,,,9,100,Lab,Midwestern USA,Aedes,albopictus,Alto_et_al_2001b_JMedEnto,Fig 2a,,,,,,,,
4,Erin (vector-borne_disease_data_adjusted),Development Rate,MDR,,,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,,26,6.31E-07,0.05454,1/s,1/days,,,,9,100,Lab,Midwestern USA,Aedes,albopictus,Alto_et_al_2001b_JMedEnto,Fig 2a,,,,,,,,
4,Erin (vector-borne_disease_data_adjusted),Development Rate,MDR,,,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,,30,6.81E-07,0.05885,1/s,1/days,,,,9,100,Lab,Midwestern USA,Aedes,albopictus,Alto_et_al_2001b_JMedEnto,Fig 2a,,,,,,,,
5,Erin (vector-borne_disease_data_adjusted),Mortality Rate,p,,,"the daily mortality rate, assuming a constant mortality rate throughout the adult vector lifespan","the average daily probability of an adult vector surviving, equal to the exponential of negative mu, the daily mortality rate, assuming a constant mortality rate throughout the adult vector lifespan",,22,1.11E-07,0.99046,s,Probability,,,,9,100,Lab,Midwestern USA,Aedes,albopictus,Alto_et_al_2001b_JMedEnto,Longevity in AA column,9013334.756,,,,,,,
5,Erin (vector-borne_disease_data_adjusted),Mortality Rate,p,,,"the daily mortality rate, assuming a constant mortality rate throughout the adult vector lifespan","the average daily probability of an adult vector surviving, equal to the exponential of negative mu, the daily mortality rate, assuming a constant mortality rate throughout the adult vector lifespan",,26,1.85E-07,0.98418,s,Probability,,,,9,100,Lab,Midwestern USA,Aedes,albopictus,Alto_et_al_2001b_JMedEnto,Longevity in AA column,5418126.4,,,,,,,
5,Erin (vector-borne_disease_data_adjusted),Mortality Rate,p,,,"the daily mortality rate, assuming a constant mortality rate throughout the adult vector lifespan","the average daily probability of an adult vector surviving, equal to the exponential of negative mu, the daily mortality rate, assuming a constant mortality rate throughout the adult vector lifespan",,30,3.92E-07,0.96674,s,Probability,,,,9,100,Lab,Midwestern USA,Aedes,albopictus,Alto_et_al_2001b_JMedEnto,Longevity in AA column,2554271.433,,,,,,,
6,Erin (vector-borne_disease_data_adjusted),Development Rate,MDR,,,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,18,18,4.72E-07,0.04082,1/s,1/days,,,,1,515,Lab,Florida ,Aedes,albopictus,Westbrook_et_al_2010_VecBorn&ZooDis,Table 1,"Median Value, no replication number givens so in it's place n was given",,,,,,,
6,Erin (vector-borne_disease_data_adjusted),Development Rate,MDR,,,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,24,24,1.05E-06,0.09091,1/s,1/days,,,,1,556,Lab,Florida ,Aedes,albopictus,Westbrook_et_al_2010_VecBorn&ZooDis,Table 1,"Median Value, no replication number givens so in it's place n was given",,,,,,,
6,Erin (vector-borne_disease_data_adjusted),Development Rate,MDR,,,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,32,32,0.000001286,0.11111,1/s,1/days,,,,1,445,Lab,Florida ,Aedes,albopictus,Westbrook_et_al_2010_VecBorn&ZooDis,Table 1,"Median Value, no replication number givens so in it's place n was given",,,,,,,
248,Natcha ,Development Time,,,,Time at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,,18,18,24.498,,days,,,,,,,,,,,,,,,,,,,,
248,Natcha,Development Time,,,,Time at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,,24,24,11,,days,,,,,,,,,,,,,,,,,,,,
248,Natcha,Development Time,,,,Time at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,,32,32,9,,days,,,,,,,,,,,,,,,,,,,,
7,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,,22,0.88089,0.88089,probability,NA,,,,5,100,Lab,Florida ,Aedes,albopictus,Westbrook_Thesis_2010,Fig 4-1,,,,,,,,
7,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,,27,0.98491,0.98491,probability,NA,,,,5,100,Lab,Florida ,Aedes,albopictus,Westbrook_Thesis_2010,Fig 4-1,,,,,,,,
7,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,,32,0.89416,0.89416,probability,NA,,,,5,100,Lab,Florida ,Aedes,albopictus,Westbrook_Thesis_2010,Fig 4-1,,,,,,,,
8,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,,22,0.90812,0.90812,probability,NA,,,,5,100,Lab,Florida ,Aedes,aegypti,Westbrook_Thesis_2010,Fig 4-4,,,,,,,,
8,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,,27,0.9359,0.9359,probability,NA,,,,5,100,Lab,Florida ,Aedes,aegypti,Westbrook_Thesis_2010,Fig 4-4,,,,,,,,
8,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,,32,0.81944,0.81944,probability,NA,,,,5,100,Lab,Florida ,Aedes,aegypti,Westbrook_Thesis_2010,Fig 4-4,,,,,,,,
249,Natcha,Development Time,,,,Time at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,,,22,13.238,,days,,,,,5,100,Lab,Florida ,Aedes,albopictus,Westbrook_Thesis_2010,Fig 4-1,,,,,,,,
