Unq_ID,DataOrigin,TraitName,OLDTrait,LifeStage,Sex,TraitDef,OLDTraitDef,RearTemp,AmbientTemp,TraitValue,OLDTraitValue,TraitUnit,OLDTraitUnit,Time,OLDTime,ErrorPosSI,ErrorNegSI,ErrorUnitSI,Replicates,Cohort (n),Labfield,Location ,Genus,Species,Citation,FigureTable,Notes,,,,,,,
1,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,25,5,0,0,probability,NA,0,0,,,,18,10,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Table 1,"Insectarium is maintaiAcclimation period was for freshly laid eggs, values from table not raw.",,,,,,,
1,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,25,10,0,0,probability,NA,0,0,,,,10,10,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Table 1,"Acclimation period was for freshly laid eggs, values from table not raw.",,,,,,,
1,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,25,15,0.5,50,probability,NA,35,3020000,,,,11,10,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Table 1,"Acclimation period was for freshly laid eggs, values from table not raw.",,,,,,,
1,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,25,20,0.775,77.5,probability,NA,14.4,1240000,,,,13,10,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Table 1,"Acclimation period was for freshly laid eggs, values from table not raw.",,,,,,,
1,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,25,25,0.763,76.3,probability,NA,10.4,901000,,,,13,10,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Table 1,"Acclimation period was for freshly laid eggs, values from table not raw.",,,,,,,
1,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,25,30,0.675,67.5,probability,NA,8.8,758000,,,,14,10,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Table 1,"Acclimation period was for freshly laid eggs, values from table not raw.",,,,,,,
1,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,25,35,0.25,2.5,probability,NA,12.3,1060000,,,,19,10,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Table 1,"Acclimation period was for freshly laid eggs, values from table not raw.",,,,,,,
1,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,25,40,0,0,probability,NA,0,0,,,,10,10,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Table 1,"Acclimation period was for freshly laid eggs, values from table not raw.",,,,,,,
2,Erin (vector-borne_disease_data_adjusted),Development Rate,MDR,,,the rate at which a larval vector develops into an adult; the inverse of the number of second required for development from egg to adult,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,25,15,0.000000331,0.028571429,1/s,1/days,,3020000,0.0000129,0.0000129,1/s,11,10,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Table 2,"Acclimation period was for freshly laid eggs, values from table not raw.",,,,,,,
2,Erin (vector-borne_disease_data_adjusted),Development Rate,MDR,,,the rate at which a larval vector develops into an adult; the inverse of the number of second required for development from egg to adult,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,25,20,0.000000804,0.069444444,1/s,1/days,,1240000,0.0000289,0.0000289,1/s,13,10,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Table 2,"Acclimation period was for freshly laid eggs, values from table not raw.",,,,,,,
2,Erin (vector-borne_disease_data_adjusted),Development Rate,MDR,,,the rate at which a larval vector develops into an adult; the inverse of the number of second required for development from egg to adult,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,25,25,0.00000111,0.096153846,1/s,1/days,,901000,0.0000165,0.0000165,1/s,13,10,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Table 2,"Acclimation period was for freshly laid eggs, values from table not raw.",,,,,,,
